airbnb_listing_id,n_stay_dates,coverage_ratio,avg_daily_price,annual_revenue_occ_40,annual_revenue_occ_50,annual_revenue_occ_60
37989675,63,0.6923,418.48,61097.52,76371.90,91646.29
38695314,53,0.5824,564.60,82432.15,103040.19,123648.23
38998610,68,0.7473,195.00,28470.00,35587.50,42705.00
39051477,91,1.0000,1538.01,224550.14,280687.67,336825.21
39109062,74,0.8132,1485.14,216829.73,271037.16,325244.59
39394644,73,0.8022,726.27,106036.00,132545.00,159054.00
39414948,61,0.6703,561.89,82035.25,102544.06,123052.87
40039627,67,0.7363,308.33,45015.94,56269.93,67523.91
40910065,88,0.9670,604.71,88287.86,110359.82,132431.79
41260111,77,0.8462,1799.60,262741.76,328427.20,394112.64
41493620,87,0.9560,774.40,113062.78,141328.47,169594.16
41532894,61,0.6703,761.95,111244.66,139055.83,166866.99
41590719,65,0.7143,392.27,57271.31,71589.13,85906.96
1019453731090411731,66,0.7253,413.81,60416.35,75520.44,90624.52
1045459185575382038,89,0.9780,515.28,75231.01,94038.76,112846.52
1048804459244346908,70,0.7692,704.43,102846.57,128558.21,154269.86
1050857413300266721,54,0.5934,639.42,93354.83,116693.54,140032.25
1052490589225547467,67,0.7363,698.11,101924.34,127405.43,152886.51
1053851019443958006,90,0.9890,503.90,73569.40,91961.75,110354.10
1055163452693752832,71,0.7802,579.33,84582.32,105727.90,126873.49
1066545050089987954,69,0.7582,462.90,67583.19,84478.99,101374.78
1074031328011239995,89,0.9780,1677.07,244852.66,306065.83,367278.99
1075503699104403085,69,0.7582,995.97,145411.34,181764.18,218117.02
10982940,75,0.8242,1800.00,262800.00,328500.00,394200.00
42704327,76,0.8352,1113.99,162643.04,203303.80,243964.56
43754654,81,0.8901,951.49,138917.20,173646.50,208375.80
44425260,66,0.7253,496.62,72506.25,90632.82,108759.38
45513430,89,0.9780,782.92,114306.52,142883.15,171459.78
45822839,59,0.6484,427.46,62408.81,78011.02,93613.22
46220279,62,0.6813,628.25,91724.50,114655.63,137586.75
46530405,83,0.9121,1069.02,156077.37,195096.71,234116.06
46678933,77,0.8462,729.22,106466.23,133082.79,159699.35
46878566,75,0.8242,498.20,72737.20,90921.50,109105.80
46896012,56,0.6154,599.46,87521.79,109402.23,131282.68
46936020,54,0.5934,398.24,58143.15,72678.94,87214.72
47326216,77,0.8462,1107.79,161737.66,202172.08,242606.49
48243472,48,0.5275,1154.76,168595.02,210743.78,252892.53
49050392,46,0.5055,741.30,108230.43,135288.04,162345.65
49123621,75,0.8242,751.67,109743.33,137179.17,164615.00
51405106,74,0.8132,863.72,126103.55,157629.44,189155.33
51669111,87,0.9560,702.82,102611.15,128263.94,153916.72
51785337,56,0.6154,313.07,45708.43,57135.54,68562.64
52354467,51,0.5604,510.59,74545.88,93182.35,111818.82
53008127,51,0.5604,329.41,48094.12,60117.65,72141.18
53133732,72,0.7912,769.11,112290.22,140362.78,168435.33
53195241,82,0.9011,1835.12,267927.80,334909.76,401891.71
53240300,75,0.8242,1004.07,146593.73,183242.17,219890.60
53340772,59,0.6484,518.86,75752.97,94691.21,113629.45
53445765,52,0.5714,387.23,56534.99,70668.74,84802.49
53645678,61,0.6703,740.57,108123.77,135154.71,162185.66
53903158,66,0.7253,1158.48,169138.79,211423.48,253708.18
53972959,48,0.5275,864.60,126232.21,157790.26,189348.31
54167570,78,0.8571,1406.15,205298.46,256623.08,307947.69
54237040,66,0.7253,696.07,101626.32,127032.90,152439.48
54246694,89,0.9780,710.11,103676.40,129595.51,155514.61
42335961,56,0.6154,456.54,66654.21,83317.77,99981.32
42362925,69,0.7582,999.56,145935.46,182419.33,218903.20
43499385,69,0.7582,595.59,86956.75,108695.94,130435.13
45621607,71,0.7802,331.24,48360.79,60450.98,72541.18
45687710,79,0.8681,419.46,61240.53,76550.66,91860.80
45768161,71,0.7802,624.65,91198.59,113998.24,136797.89
45803876,54,0.5934,540.53,78917.06,98646.32,118375.58
45889892,58,0.6374,615.69,89890.69,112363.36,134836.03
45973790,87,0.9560,631.06,92134.67,115168.34,138202.01
46451253,71,0.7802,575.65,84045.62,105057.02,126068.43
46550767,47,0.5165,757.45,110587.23,138234.04,165880.85
46866680,59,0.6484,470.42,68681.86,85852.33,103022.80
46990438,54,0.5934,530.93,77515.19,96893.98,116272.78
47172145,60,0.6593,585.65,85504.90,106881.12,128257.35
47254288,67,0.7363,490.30,71583.58,89479.48,107375.37
47325492,79,0.8681,626.85,91520.57,114400.71,137280.85
47402735,66,0.7253,462.03,67455.76,84319.70,101183.64
47558531,86,0.9451,755.61,110319.64,137899.55,165479.46
47909482,64,0.7033,877.83,128163.88,160204.85,192245.83
48109229,73,0.8022,546.05,79724.00,99655.00,119586.00
48848529,78,0.8571,943.36,137730.41,172163.01,206595.62
50958684,66,0.7253,989.66,144489.86,180612.32,216734.79
51453135,55,0.6044,539.09,78707.27,98384.09,118060.91
51825638,74,0.8132,657.42,95983.16,119978.95,143974.74
52059007,83,0.9121,1004.05,146591.32,183239.15,219886.97
52346232,57,0.6264,689.84,100716.95,125896.18,151075.42
525472560929976068,79,0.8681,1022.90,149343.22,186679.02,224014.82
52646204,66,0.7253,965.02,140892.21,176115.27,211338.32
52969803,61,0.6703,346.15,50537.54,63171.93,75806.31
53113087,48,0.5275,519.84,75896.68,94870.85,113845.02
53314692,53,0.5824,728.81,106405.53,133006.92,159608.30
53669499,59,0.6484,543.00,79278.00,99097.50,118917.00
53738511,64,0.7033,466.00,68036.00,85045.00,102054.00
53914255,47,0.5165,588.69,85948.44,107435.55,128922.66
53973724,55,0.6044,577.51,84316.33,105395.41,126474.49
54287612,50,0.5495,414.25,60480.99,75601.23,90721.48
543584528464360785,60,0.6593,375.49,54821.78,68527.23,82232.68
46048925,71,0.7802,939.93,137229.20,171536.50,205843.81
53581602,70,0.7692,520.83,76040.97,95051.21,114061.46
929120660817262874,86,0.9451,734.80,107280.29,134100.36,160920.44
936216057908307884,61,0.6703,388.69,56749.00,70936.25,85123.50
963040775940890055,80,0.8791,650.25,94936.04,118670.05,142404.07
983188724209547131,73,0.8022,878.70,128290.00,160362.50,192435.00
984846668146064982,48,0.5275,995.51,145344.52,181680.65,218016.78
985445004274818605,59,0.6484,165.11,24106.08,30132.61,36159.13
1002785860497857801,65,0.7143,494.52,72199.25,90249.06,108298.87
1005958896607152946,53,0.5824,244.53,35701.13,44626.42,53551.70
1008029204257210230,53,0.5824,298.41,43568.26,54460.32,65352.39
1039235354309448898,60,0.6593,183.33,26766.67,33458.33,40150.00
1044458170286255125,47,0.5165,792.63,115723.64,144654.55,173585.46
1046547202929220520,56,0.6154,383.78,56031.19,70038.99,84046.79
1047723626454445067,91,1.0000,1629.27,237874.11,297342.64,356811.16
1053030252161966865,83,0.9121,276.72,40401.54,50501.93,60602.31
1053625763515857065,72,0.7912,494.80,72240.77,90300.96,108361.15
1056827534457537585,79,0.8681,301.20,43974.49,54968.11,65961.74
1057137469420115073,69,0.7582,650.28,94940.20,118675.25,142410.30
1063807278503566143,49,0.5385,431.96,63066.04,78832.55,94599.06
1067320906990424780,61,0.6703,602.75,88000.90,110001.13,132001.35
1100720037663116812,62,0.6813,945.56,138051.24,172564.05,207076.86
1125970477826966385,65,0.7143,542.31,79177.67,98972.09,118766.51
1163772289534164479,62,0.6813,1749.59,255439.95,319299.94,383159.93
1171049670344322120,61,0.6703,678.18,99014.33,123767.91,148521.49
1181933658424522281,65,0.7143,389.08,56805.23,71006.54,85207.85
1181944920258781413,75,0.8242,396.42,57877.64,72347.06,86816.47
1181971107577983158,69,0.7582,398.78,58221.56,72776.94,87332.33
1182040498646675653,50,0.5495,642.82,93851.72,117314.65,140777.58
1182188163181410725,82,0.9011,934.54,136442.34,170552.93,204663.51
1183418487997408853,63,0.6923,533.13,77837.70,97297.12,116756.55
1184152596221501552,74,0.8132,535.25,78146.50,97683.13,117219.75
1188323084225041810,66,0.7253,531.01,77527.11,96908.88,116290.66
1191386301072209798,69,0.7582,541.28,79027.26,98784.08,118540.89
1192836728602105901,74,0.8132,542.13,79150.74,98938.43,118726.11
1195858349379362032,48,0.5275,765.83,111811.67,139764.58,167717.50
1207335703563012811,74,0.8132,434.62,63454.76,79318.45,95182.14
1207383031689344642,67,0.7363,622.39,90868.66,113585.82,136302.99
1208718899534488031,75,0.8242,440.05,64247.14,80308.92,96370.71
1208757710030861160,62,0.6813,404.65,59078.59,73848.23,88617.88
1233973103621276698,53,0.5824,403.11,58854.53,73568.16,88281.79
1234084273027568746,51,0.5604,397.34,58012.10,72515.12,87018.15
1236367599770739400,59,0.6484,579.19,84561.22,105701.53,126841.83
1238321506456103932,76,0.8352,731.28,106767.30,133459.13,160150.95
1242713378625026725,69,0.7582,574.11,83819.87,104774.84,125729.80
1249371220066552412,69,0.7582,538.96,78687.65,98359.57,118031.48
1259534245145609058,54,0.5934,446.01,65117.04,81396.30,97675.55
1260073533686146608,63,0.6923,443.31,64723.19,80903.99,97084.79
1265161823691467042,69,0.7582,578.29,84430.32,105537.90,126645.48
1271171762063321920,56,0.6154,581.25,84862.50,106078.13,127293.75
1277103969415516416,54,0.5934,454.01,66284.90,82856.13,99427.35
1282577030741754149,67,0.7363,401.44,58610.65,73263.31,87915.97
1282585098065467787,64,0.7033,403.76,58949.02,73686.28,88423.53
1283982403734255309,62,0.6813,521.19,76094.26,95117.82,114141.39
1285538056394050628,83,0.9121,1025.84,149772.25,187215.32,224658.38
